serial number / filename,whether marking method was dot or laser,0/1 : good quality/bad quality,DMC color,background color,major malformations present in image
012023030340002,laser,0,black,metal,blur
012023030340010,laser,1,black,metal,blur;cover
012023030970002,laser,0,black,metal,none
012023030990011,laser,1,black,metal,cover;contrast change
012023031560012,laser,1,black,metal,cover
012023032290019,laser,1,black,metal,cover
012023050650014,laser,0,black,metal,blur
012023050650022,laser,0,black,metal,contrast change
012023050860006,laser,0,black,metal,small;contrast change
012023051710003,laser,0,black,metal,small;contrast change;blur
012023051710013,laser,0,black,metal,contrast change;blur
012023051710020,laser,0,black,metal,small
012023061940006,laser,1,black,metal,blur;small
012023061940019,laser,0,black,metal,small
012305060000004,laser,0,black,metal,blur
012305060000019,laser,0,black,metal,none
28221227800009,laser,1,black,metal,small;blur
250115190140006,dot,0,dot,white,contrast change
250115190140012,dot,0,dot,white,contrast change
250115225260011,dot,1,dot,white,small;blur;contrast change;dot malformation
250115225260012,dot,1,dot,white,blur;contrast change
250115225710010,dot,1,dot,white,small;blur;dot malformation
250115225710016,dot,1,dot,white,small;blur;dot malformation
KV8INMEP,dot,1,dot,green,blur
KW8PXY3D,dot,1,dot,green,blur
